datetime	price	type	latitude_from	longitude_from	latitude_to	longitude_to	label_from	label_trend
25.05.2013 21:15	1137	Parking	48.894233	2.288499	48.914668	2.284232	80 bis rue du président Wilson	Levallois-Perret
28.05.2013 20:18	749	Parking	48.838734	2.320556	48.854155	2.330922	15 rue du Commandant René Mouchotte	Paris
04.06.2013 20:28	846	Parking	48.897044	2.276052	48.84143	2.330679	33 rue Ernest Cognacq	Levallois-Perret
05.06.2013 19:30	1168	Parking	48.898954	2.28177	48.84732	2.256903	1 Place Georges Pompidou	Levallois-Perret
06.06.2013 11:00	1216	Parking	48.854342	2.347729	48.845038	2.325224	1 place du parvis Notre-Dame	Paris
06.06.2013 21:40	1176	Parking	48.839848	2.312476	48.832977	2.335575	81 rue Falguière	Paris
07.06.2013 15:07	1098	Parking	48.845331	2.300746	48.83936	2.371312	26 villa Croix-Nivert	Paris
07.06.2013 19:00	1168	Parking	48.851425	2.325024	48.840851	2.31496	1 rue Velpeau	Paris
09.06.2013 13:00	999	Voirie	48.847981	2.350688	48.879025	2.293333	19 rue des Écoles	Paris
09.06.2013 17:12	808	Voirie	48.844369	2.352236	48.875884	2.338455	58 Rue Monge	Paris
13.06.2013 10:24	1234	Voirie	48.844202	2.35078	48.875296	2.342112	38 Rue Lacépède	Paris
18.06.2013 14:18	749	Voirie	48.844176	2.342026	48.878672	2.334714	221 rue Saint-Jacques	Paris
24.06.2013 21:01	999	Voirie	48.841024	2.352043	48.883719	2.360076	99 Rue Monge	Paris
25.06.2013 15:30	749	Voirie	48.848694	2.331699	48.87914	2.355992	18 rue Madame	Paris
25.06.2013 17:44	855	Voirie	48.852499	2.341863	48.875119	2.352163	8 rue Danton	Paris
28.06.2013 17:58	625	Voirie	48.847296	2.318229	48.87415	2.370264	2 rue Mayet	Paris
03.07.2013 15:40	1235	Voirie	48.850774	2.323772	48.871464	2.364195	142 rue du Bac	Paris
06.07.2013 18:21	1028	Voirie	48.856788	2.326943	48.880015	2.350887	42 Rue du Bac	Paris
06.07.2013 21:54	999	Voirie	48.879584	2.32169	48.872551	2.366348	4 rue de Constantinople	Paris
09.07.2013 22:09	861	Voirie	48.876049	2.300973	48.852323	2.376908	31 avenue Hoche	Paris
12.07.2013 15:01	1998	Voirie	48.875452	2.318811	48.850528	2.382293	9 place Saint-Augustin	Paris
12.07.2013 16:23	917	Voirie	48.872225	2.325844	48.855306	2.378285	19 rue Tronchet	Paris
12.07.2013 18:22	999	Voirie	48.877384	2.34648	48.864092	2.379939	6 rue Rochambeau	Paris
12.07.2013 22:46	1087	Voirie	48.880073	2.345554	48.857253	2.37143	4 rue Turgot	Paris
13.07.2013 20:00	999	Voirie	48.882447	2.336371	48.859303	2.377273	23 Boulevard de Clichy	Paris
13.07.2013 22:57	1496	Voirie	48.873591	2.346832	48.861449	2.380971	13 rue du conservatoire	Paris
15.07.2013 13:21	826	Voirie	48.883263	2.351155	48.847282	2.385861	10 rue Guy Patin	Paris
17.07.2013 17:10	1268	Voirie	48.873829	2.364968	48.847261	2.371591	11 Rue de la Grange aux Belles	Paris
18.07.2013 12:32	876	Voirie	48.875003	2.358833	48.844425	2.406705	2 rue Sibour	Paris
18.07.2013 22:30	1197	Voirie	48.870887	2.35392	48.834039	2.406206	6 Rue de Metz	Paris
19.07.2013 20:46	999	Voirie	48.87408	2.355076	48.839309	2.387858	91 rue du Faubourg Saint-Denis	Paris
20.07.2013 18:16	1466	Voirie	48.854473	2.370168	48.836384	2.384015	8 Boulevard Richard Lenoir	Paris
21.07.2013 17:27	789	Voirie	48.849463	2.395181	48.84752	2.397065	1 avenue Philippe Auguste	Paris
25.07.2013 20:00	999	Voirie	48.861161	2.377977	48.82955	2.353728	2 rue du Général Renault	Paris
28.07.2013 22:21	726	Voirie	48.866743	2.36754	48.83513	2.344551	5 avenue de la République	Paris
02.09.2013 19:22	898	Voirie	48.852641	2.382977	48.818843	2.362141	27 Rue Faidherbe	Paris
04.09.2013 20:45	688	Voirie	48.856135	2.38256	48.828473	2.380239	11 rue François de Neufchateau	Paris
05.09.2013 14:27	858	Voirie	48.862798	2.376544	48.822204	2.346046	62 Avenue Parmentier	Paris
16.09.2013 20:10	548	Voirie	48.84719	2.38121	48.82744	2.366062	33 rue Crozatier	Paris
12.01.2014 13:51	567	Voirie	48.844836	2.401637	48.829952	2.349851	48 Avenue de Saint-Mandé	Paris
13.01.2014 18:00	1008	Voirie	48.841608	2.404957	48.830505	2.367183	10 Avenue du Docteur Arnold Netter	Paris
14.01.2014 22:43	699	Voirie	48.829927	2.400774	48.835633	2.373106	2 avenue de la Porte de Charenton	Paris
15.01.2014 21:18	699	Voirie	48.841702	2.411286	48.830538	2.373557	1 avenue Émile Laurent	Paris
16.01.2014 17:25	1688	Voirie	48.839275	2.384098	48.823435	2.35438	5 boulevard de Bercy	Paris
16.01.2014 17:31	699	Voirie	48.832268	2.350319	48.830936	2.379916	1 rue Croulebarbe	Paris
17.01.2014 18:03	3974	Voirie	48.828667	2.361231	48.833208	2.326292	42 rue Charles Moureu	Paris
17.01.2014 18:10	759	Voirie	48.820307	2.351226	48.839565	2.330116	12 Rue Gouthière	Paris
17.01.2014 19:53	868	Voirie	48.824331	2.363645	48.834775	2.329793	3 avenue d'Ivry	Paris
17.01.2014 21:46	596	Voirie	48.833947	2.364958	48.831909	2.320359	143 boulevard Vincent Auriol	Paris
18.01.2014 14:13	567	Voirie	48.836597	2.359179	48.828425	2.321753	157 rue Jeanne D'Arc	Paris
18.01.2014 19:18	978	Voirie	48.839222	2.36119	48.825546	2.338255	47 boulevard de l'Hôpital	Paris
18.01.2014 20:18	1117	Voirie	48.829066	2.375951	48.837427	2.322114	79 rue du Chevaleret	Paris
19.01.2014 11:23	699	Voirie	48.834252	2.317832	48.852011	2.285913	46 Rue Pernety	Paris
19.01.2014 17:50	699	Voirie	48.837018	2.324313	48.848318	2.301052	71 rue Froidevaux	Paris
24.01.2014 18:10	1519	Voirie	48.827653	2.332932	48.828733	2.298942	33 rue d'Alésia	Paris
24.01.2014 18:40	968	Voirie	48.83086	2.333917	48.84607	2.278462	11 avenue René Coty	Paris
25.01.2014 18:00	1365	Voirie	48.83459	2.335566	48.843953	2.279586	85 Boulevard Arago	Paris
25.01.2014 21:36	616	Voirie	48.823798	2.319513	48.845686	2.303681	7 rue Nicolas Taunay	Paris
26.01.2014 18:07	787	Voirie	48.834366	2.314563	48.84253	2.284832	106 rue Vercingétorix	Paris
26.01.2014 19:14	918	Voirie	48.838146	2.341825	48.847115	2.295276	97 boulevard de Port-Royal	Paris
28.01.2014 19:01	1336	Voirie	48.835237	2.30252	48.833957	2.308453	2 rue de Cronstadt	Paris
28.01.2014 21:29	1166	Voirie	48.84667	2.284809	48.843438	2.298102	65 Avenue Émile Zola	Paris
29.01.2014 18:30	699	Voirie	48.841728	2.318568	48.842608	2.313273	20 Boulevard de Vaugirard	Paris
29.01.2014 19:09	699	Voirie	48.840963	2.297277	48.85448	2.295669	336 Rue Lecourbe	Paris
29.01.2014 20:08	699	Voirie	48.835197	2.2914	48.87045	2.28686	15 rue Olier	Paris
31.01.2014 14:00	1398	Voirie	48.838835	2.289504	48.869813	2.275019	192 rue de la Croix Nivert	Paris
31.01.2014 19:10	587	Voirie	48.838298	2.294333	48.864089	2.288225	171 Rue de la Convention	Paris
31.01.2014 21:16	938	Voirie	48.844846	2.319911	48.847811	2.258944	4 Avenue du Maine	Paris
01.02.2014 14:27	749	Voirie	48.845989	2.309537	48.860243	2.274057	161 Avenue de Suffren	Paris
01.02.2014 20:38	1391	Voirie	48.837362	2.305826	48.853778	2.276945	44 rue Paul Barruel	Paris
01.02.2014 20:44	2077	Voirie	48.874598	2.291332	48.838067	2.26305	13 avenue de la Grande Armée	Paris
01.02.2014 21:51	578	Voirie	48.867383	2.298862	48.843306	2.259423	33 Avenue Pierre 1er de Serbie	Paris
02.02.2014 11:26	817	Voirie	48.863899	2.280413	48.864915	2.278593	42 bis avenue Georges Mandel	Paris
02.02.2014 21:20	795	Voirie	48.861882	2.283301	48.879569	2.290024	2 rue Pétrarque	Paris
03.02.2014 19:02	957	Voirie	48.857666	2.281563	48.881729	2.317583	12 rue Chernoviz	Paris
05.02.2014 18:31	699	Voirie	48.858498	2.28514	48.883269	2.308057	23 Boulevard Delessert	Paris
06.02.2014 9:07	1347	Voirie	48.84798	2.272084	48.885663	2.294203	8 rue Rémusat	Paris
06.02.2014 20:52	699	Voirie	48.84528	2.264024	48.885559	2.284826	16 Rue Molitor	Paris
07.02.2014 15:46	1087	Voirie	48.865414	2.299571	48.888742	2.325823	1 Avenue Marceau	Paris
07.02.2014 20:27	1505	Voirie	48.859301	2.267741	48.8853	2.337599	20 avenue Raphaël	Paris
08.02.2014 16:52	1008	Voirie	48.895776	2.324074	48.894527	2.341264	47 rue Navier	Paris
08.02.2014 21:36	779	Voirie	48.884611	2.321274	48.883627	2.333899	27 Rue des Batignolles	Paris
10.02.2014 17:16	848	Voirie	48.887639	2.304991	48.898194	2.342285	50 Boulevard Pereire	Paris
11.02.2014 13:14	866	Voirie	48.886705	2.295607	48.891455	2.338445	210 rue de Courcelles	Paris
12.02.2014 14:24	806	Voirie	48.88388	2.313697	48.885591	2.35317	22 bis rue Legendre	Paris
13.02.2014 12:21	699	Voirie	48.882369	2.301916	48.891633	2.344904	108 Rue Jouffroy d'Abbans	Paris
13.02.2014 14:01	1294	Voirie	48.878287	2.296558	48.892002	2.333103	6 avenue des Ternes	Paris
13.02.2014 21:06	708	Voirie	48.891987	2.326914	48.898194	2.334944	67 avenue de Saint Ouen	Paris
14.02.2014 16:37	838	Voirie	48.894447	2.332185	48.882118	2.381366	35 rue Vauvenargues	Paris
14.02.2014 20:00	1527	Voirie	48.887326	2.333061	48.885212	2.390047	17 rue Caulaincourt	Paris
14.02.2014 20:39	1267	Voirie	48.89555	2.345645	48.877593	2.374204	113 Rue Duhesme	Paris
14.02.2014 20:41	1312	Voirie	48.896931	2.35874	48.879447	2.388652	75 rue de la Chapelle	Paris
14.02.2014 23:45	868	Voirie	48.899088	2.364954	48.880342	2.39854	52 rue Charles Hermite	Paris
14.02.2014 23:47	578	Voirie	48.879076	2.38364	48.899404	2.372244	50 rue Botzaris	Paris
15.02.2014 18:17	759	Voirie	48.888628	2.38883	48.884629	2.369749	8 rue Adolphe Mille	Paris
16.02.2014 19:59	1007	Voirie	48.889515	2.383132	48.873229	2.390415	1 Rue de la Meurthe	Paris
20.02.2014 12:11	548	Voirie	48.878295	2.409382	48.872259	2.39967	2 Avenue René Fonck	Paris
20.02.2014 13:49	717	Voirie	48.882169	2.370818	48.869032	2.400871	4 Avenue Secrétan	Paris
21.02.2014 11:29	898	Voirie	48.873981	2.386397	48.855783	2.40787	356 rue des Pyrénées	Paris
21.02.2014 15:00	2958	Voirie	48.870538	2.403301	48.849989	2.402106	161 Avenue Gambetta	Paris
21.02.2014 17:32	1104	Voirie	48.862837	2.366031	48.865343	2.405129	19 Rue des Filles du Calvaire	Paris
22.02.2014 16:25	749	Voirie	48.855694	2.356356	48.841654	2.300075	24 rue du Pont Louis-Philippe	Paris
22.02.2014 20:08	539	Voirie	48.851348	2.347145	48.846461	2.399902	1 Rue Dante	Paris
22.02.2014 20:59	699	Voirie	48.842059	2.343016	48.83529	2.373246	66 rue Gay-Lussac	Paris
23.02.2014 10:34	787	Voirie	48.841678	2.339246	48.852587	2.29103	25 rue Henri Barbusse	Paris
23.02.2014 11:43	759	Voirie	48.855212	2.337248	48.86524	2.333034	5 rue Jacques Callot	Paris
23.02.2014 19:11	759	Voirie	48.842952	2.328102	48.859785	2.346716	2 Rue Péguy	Paris
24.02.2014 11:50	1465	Voirie	48.855249	2.305477	48.870097	2.34993	81 Avenue Bosquet	Paris
24.02.2014 18:39	837	Voirie	48.851153	2.310591	48.870191	2.332238	26 Avenue Duquesne	Paris
25.02.2014 13:27	3506	Voirie	48.855977	2.309579	48.863545	2.361103	76 Boulevard de la Tour-Maubourg	Paris
26.02.2014 19:44	1479	Voirie	48.860773	2.307175	48.868132	2.360069	10 rue Jean Nicot	Paris
28.02.2014 18:00	1018	Voirie	48.87584	2.314271	48.858966	2.367474	12 Avenue de Messine	Paris
28.02.2014 19:24	518	Voirie	48.872847	2.307769	48.862363	2.364743	11 rue d'Artois	Paris
28.02.2014 20:13	1797	Voirie	48.87368	2.314639	48.855346	2.35911	37 rue la Boétie	Paris
01.03.2014 15:00	2018	Voirie	48.872035	2.313083	48.854877	2.350438	91 Rue du Faubourg Saint-Honoré	Paris
02.03.2014 19:35	926	Voirie	48.868325	2.323673	48.856378	2.361255	422 Rue Saint-Honoré	Paris
02.03.2014 21:44	557	Voirie	48.880142	2.313328	48.852494	2.367796	113 boulevard Malesherbes	Paris
05.03.2014 14:39	539	Voirie	48.879594	2.32626	48.854352	2.34506	24 rue de Liège	Paris
06.03.2014 20:44	995	Voirie	48.868232	2.304591	48.840524	2.356124	38 rue François 1er	Paris
07.03.2014 18:59	1265	Voirie	48.876025	2.365724	48.847879	2.324063	107 Quai de Valmy	Paris
08.03.2014 15:32	1028	Voirie	48.881848	2.352784	48.848715	2.328683	26 rue Saint-Vincent-de-Paul	Paris
08.03.2014 22:24	888	Voirie	48.875988	2.368073	48.844932	2.329207	47 rue de la Grange aux Belles	Paris
12.03.2014 14:46	577	Voirie	48.851693	2.390039	48.842485	2.336243	236 Boulevard Voltaire	Paris
13.03.2014 12:26	1952	Voirie	48.849161	2.397172	48.847105	2.33216	2 Avenue de Taillebourg	Paris
14.03.2014 18:50	1479	Voirie	48.860163	2.371941	48.84883	2.340704	63 Boulevard Richard Lenoir	Paris
15.03.2014 12:24	628	Voirie	48.855697	2.374365	48.858101	2.310158	2 rue du Commandant Lamy	Paris
15.03.2014 17:09	906	Voirie	48.852728	2.371006	48.855046	2.326036	16 Rue du Faubourg Saint-Antoine	Paris
16.03.2014 18:22	1201	Voirie	48.845953	2.374862	48.854646	2.330355	24 boulevard Diderot	Paris
19.03.2014 10:09	539	Voirie	48.841472	2.375017	48.865843	2.308222	20 Rue Villiot	Paris
19.03.2014 12:38	965	Voirie	48.849279	2.389115	48.869885	2.312356	238 Rue du Faubourg Saint-Antoine	Paris
19.03.2014 17:58	1193	Voirie	48.839249	2.397095	48.866794	2.31577	199 avenue Daumesnil	Paris
20.03.2014 20:26	508	Voirie	48.84116	2.398735	48.873156	2.305478	122 ter Rue de Picpus	Paris
22.03.2014 20:38	1290	Voirie	48.831177	2.346105	48.878099	2.304988	24 Rue Vulpian	Paris
27.03.2014 10:58	953	Voirie	48.836243	2.359072	48.877876	2.310823	157 Boulevard de L'Hôpital	Paris
27.03.2014 19:30	1757	Voirie	48.834441	2.367247	48.869563	2.303652	81 Boulevard Vincent Auriol	Paris
02.04.2014 19:56	946	Voirie	48.821075	2.33579	48.874211	2.297694	26 Boulevard Jourdan	Paris
04.04.2014 19:22	878	Voirie	48.82872	2.316252	48.865559	2.301122	80 rue Didot	Paris
05.04.2014 18:00	1434	Voirie	48.832825	2.336116	48.878422	2.322582	59 boulevard Saint-Jacques	Paris
05.04.2014 20:41	687	Voirie	48.843217	2.321596	48.874107	2.338186	16 rue de l'Arrivée	Paris
10.04.2014 22:22	616	Voirie	48.840461	2.287915	48.880436	2.328475	2 Rue Houdart de Lamotte	Paris
08.05.2014 14:38	1539	Voirie	48.841258	2.297723	48.87688	2.330191	178 Rue Lecourbe	Paris
09.05.2014 20:33	618	Voirie	48.839848	2.273492	48.877641	2.340853	19 Rue Leblanc	Paris
16.05.2014 14:43	566	Voirie	48.838889	2.282526	48.875916	2.372371	109 avenue Félix Faure	Paris
17.05.2014 14:26	968	Voirie	48.835378	2.285178	48.877204	2.361469	74 rue Vasco de Gama	Paris
18.05.2014 15:45	1194	Voirie	48.833546	2.298806	48.881547	2.363001	37 rue de Dantzig	Paris
18.05.2014 17:16	1437	Voirie	48.845513	2.292099	48.871798	2.372097	5 Place du Commerce	Paris
18.05.2014 18:52	548	Voirie	48.842051	2.309136	48.865776	2.366407	19 Rue Émile Duclaux	Paris
20.05.2014 18:40	539	Voirie	48.851323	2.291053	48.858611	2.384139	43 rue du Docteur Finlay	Paris
21.05.2014 15:23	598	Voirie	48.853892	2.296363	48.853332	2.388146	44 Avenue de Suffren	Paris
21.05.2014 15:43	588	Voirie	48.84057	2.304456	48.865587	2.372046	230 Rue de Vaugirard	Paris
21.05.2014 22:18	888	Voirie	48.872429	2.291531	48.862922	2.386102	18 Avenue Victor Hugo	Paris
22.05.2014 15:18	578	Voirie	48.86843	2.292723	48.868735	2.374571	16 place des États-Unis	Paris
23.05.2014 21:35	749	Voirie	48.874967	2.28393	48.849822	2.387278	115 avenue de Malakoff	Paris
24.05.2014 12:00	1474	Voirie	48.850941	2.271751	48.853649	2.392411	42 rue Jean de la Fontaine	Paris
24.05.2014 12:18	568	Voirie	48.843823	2.269842	48.842995	2.383393	112 Avenue de Versailles	Paris
24.05.2014 15:21	2856	Voirie	48.877026	2.267791	48.847655	2.37731	6 avenue du Mahatma Gandhi	Paris
25.05.2014 20:44	1303	Voirie	48.863866	2.272785	48.842127	2.372494	70 avenue Henri Martin	Paris
25.05.2014 21:00	1237	Voirie	48.853289	2.279371	48.832764	2.387011	10 Rue du Ranelagh	Paris
25.05.2014 22:18	539	Voirie	48.878065	2.285113	48.84027	2.394561	271 Boulevard Pereire	Paris
26.05.2014 20:18	749	Voirie	48.895515	2.328148	48.835214	2.400456	1 Rue Navier	Paris
27.05.2014 15:16	538	Voirie	48.885552	2.29687	48.836372	2.392079	188 rue de Courcelles	Paris
27.05.2014 19:41	558	Voirie	48.891752	2.318783	48.826253	2.342384	4 rue Pouchet	Paris
28.05.2014 12:14	578	Voirie	48.891443	2.304008	48.831976	2.354142	11 rue Marguerite Long	Paris
29.05.2014 20:43	539	Voirie	48.88139	2.284383	48.820711	2.364443	12 place du Général Koënig	Paris
29.05.2014 21:03	539	Voirie	48.879927	2.299267	48.824331	2.363645	77 Avenue de Wagram	Paris
01.06.2014 16:17	539	Voirie	48.879718	2.303479	48.825012	2.37271	1 rue Chazelles	Paris
01.06.2014 18:06	588	Voirie	48.878835	2.287802	48.82941	2.382848	42 rue Brunel	Paris
02.06.2014 14:20	597	Voirie	48.890082	2.296354	48.823154	2.375367	7 rue Raymond Pitet	Paris
04.06.2014 11:52	825	Voirie	48.89546	2.350015	48.831219	2.312994	28 rue Championnet	Paris
05.06.2014 19:42	1065	Voirie	48.889637	2.336576	48.842193	2.323155	71 rue Caulaincourt	Paris
06.06.2014 10:27	2943	Voirie	48.888589	2.355297	48.829263	2.336618	29 rue Doudeauville	Paris
06.06.2014 15:58	568	Voirie	48.88496	2.347775	48.825791	2.326565	16 Rue Sofia	Paris
08.06.2014 20:45	539	Voirie	48.886033	2.359144	48.827901	2.3059	1 rue Jean-François Lépine	Paris
09.06.2014 19:32	994	Voirie	48.890158	2.359462	48.836814	2.318727	1 Rue Ordener	Paris
09.06.2014 20:07	1549	Voirie	48.895085	2.359667	48.823087	2.32282	35 rue de Boucry	Paris
11.06.2014 19:22	949	Voirie	48.888111	2.348172	48.854723	2.290392	17 Rue Custine	Paris
12.06.2014 11:05	935	Voirie	48.89968	2.352224	48.851708	2.299772	2 rue Jean Cocteau	Paris
12.06.2014 17:02	568	Voirie	48.891164	2.372698	48.848999	2.286851	35 rue Mathis	Paris
12.06.2014 17:17	1116	Voirie	48.90168	2.386595	48.842723	2.292032	4 rue Émile Reynaud	Paris
12.06.2014 17:30	949	Voirie	48.886155	2.366503	48.841275	2.277789	38 rue d'Aubervilliers	Paris
12.06.2014 18:00	966	Voirie	48.886033	2.393553	48.843537	2.29938	159 Rue Manin	Paris
12.06.2014 18:21	816	Voirie	48.888539	2.37816	48.84443	2.277043	77 Quai de Seine	Paris
12.06.2014 18:29	539	Voirie	48.889441	2.398149	48.843539	2.306167	9 Rue des Sept Arpents	Paris
12.06.2014 20:24	1087	Voirie	48.880585	2.37446	48.838494	2.312736	44 avenue Secrétan	Paris
12.06.2014 21:06	945	Voirie	48.862707	2.38786	48.847863	2.284732	30 Boulevard de Ménilmontant	Paris
12.06.2014 21:44	1115	Voirie	48.868932	2.4009	48.865344	2.294505	105 bis Rue Pelleport	Paris
13.06.2014 21:36	598	Voirie	48.870756	2.383962	48.875533	2.288552	39 rue Julien Lacroix	Paris
14.06.2014 13:09	849	Voirie	48.851601	2.411954	48.863629	2.281367	6 rue Charles et Robert	Paris
14.06.2014 13:09	849	Voirie	48.861584	2.405677	48.851569	2.267828	142 Rue de Bagnolet	Paris
15.06.2014 15:19	598	Voirie	48.869032	2.400871	48.840163	2.259982	19 Avenue Gambetta	Paris
15.06.2014 20:34	539	Voirie	48.849545	2.406083	48.851907	2.260336	5 rue Frédéric Loliée	Paris
16.06.2014 15:00	1008	Voirie	48.874699	2.390726	48.850735	2.273921	265 rue de Belleville	Paris
16.06.2014 19:15	539	Voirie	48.825355	2.125862	48.869946	2.297789	7 rue Pottier	Le Chesnay
16.06.2014 21:53	539	Voirie	48.82923	2.126929	48.85973	2.278826	103 avenue Charles de Gaulle	Le Chesnay
17.06.2014 21:51	958	Voirie	48.782969	2.215467	48.864272	2.271028	1 rue Dewoittine	Vélizy-Villacoublay
18.06.2014 20:03	539	Voirie	48.782525	2.190057	48.847886	2.274456	8 avenue du Capitaine Tarron	Vélizy-Villacoublay
